鹿／島／建／設㈱,太子東芝常傭工事,H18.3,H18.4
鹿／島／建／設㈱,太子東芝汚染土掘削他工事,H18.3,H18.9
鹿島建設㈱他JV,山電姫路工事その4,H17.6,H18.5
鹿島建設㈱他JV,山電姫路派遣社員,H17.6,H18.6
鹿島建設㈱他JV,山電姫路RA1他工事,H17.6,H18.5
セイコウ建設㈱,太子支線(第7工区)送水管布設工事,H18.3,H18.9
セイコウ建設㈱,第二玉手準幹線及び英賀保区画地内(その6)下水道工事,H17.9,H18.1
セイコウ建設㈱,英賀保駅周辺遺跡第4地点(その2)発掘調査工事,H18.1,H18.3
セイコウ建設㈱,苫編川他築造(その3)工事,H17.11,H18.3
セイコウ建設㈱,新町及び六九谷地内下水道工事,H17.12,H18.6
セイコウ建設㈱,林田西準幹線(1工区)及び六九谷地内(その4)下水道工事,H18.1,H18.7
セイコウ建設㈱,JR山陽本線等仮設ヤード整備工事,H18.6,H18.6
セイコウ建設㈱,宮ヶ谷最終処分場その2,H18.5,H18.6
清元様,東山浄苑整備工事,H16.1,H16.11
姫路河川国道事務所,29号一宮地区歩道整備工事,H17.1,H18.3
住／徳／建／設㈱,南部準幹線下水道工事及び附帯工事,H17.9,H17.9
立／建／設㈱,船場川線仮設道路整備工事(南工区),H17.9,H17.12
大和ハウス工業㈱,ツクミ姫路デイサービス外構工事,H17.11,H18.2
建／／翔㈱,散策道(手柄地区)整備(その1.2)工事,H17.11,H18.3
㈱はくろタクシー,はくろタクシーバス停留所移設工事,H17.12,H18.1
建／／翔㈱,船場川線緊急街路工事(西3工区),H17.12,H18.3
㈱タ／カ／ミ／ツ,夢前町置本開発工事,H18.1,H18.3
姫路市,姫路文化センター展示室搬入口前修繕工事,H17.11,H17.11
姫路市,手柄山中央公園整備(その3)工事,H18.2,H18.3
姫路市,手柄山中央公園園路整備工事,H18.3,H18.3
姫路市公園建設課,手柄山中央公園駐車場側溝改良工事,H18.6,H18.7
,,,
鹿／島／建／設㈱,市場水源地雑工事,Ｈ17.11,Ｈ18.3
鹿／島／建／設㈱,市場水源地倉庫解体工事,Ｈ17.11,Ｈ18.3
鹿／島／建／設㈱,市場水源地建築工事-2,Ｈ17.11,Ｈ20.3
大内様,有備館ゼミナール･ポンプ改修,Ｈ17.7,Ｈ17.7
小谷様,グランドビレッジ宮田壁補修工事,Ｈ17.8,Ｈ17.8
㈲大／翔／土／地,パークサイド永井壁補修工事,Ｈ17.11,Ｈ17.12
平／錦／建／設㈱,高砂白陵第四校舎新築工事,Ｈ17.12,Ｈ18.5
姫路市,養寿園解体撤去工事,Ｈ17.1,Ｈ18.2
姫路市,青年の家他2施設解体撤去工事,Ｈ17.12,Ｈ18.3
joint,,,
㈱友久建設,菅生ダム公衆便所新築工事,16.1,17.03
出田　肇,アートスペースビル内装改修工事,16.12,16.12
姫路河川国道事務所,姫路河川国道事務所庁舎床修繕工事,17.05,17.06
ユーダイ建設㈲,県営姫路網干鉄筋住宅大規模改修4号棟建築工事,17.02,17.1
