鹿／島／建／設㈱,河東地区コミュニティ・プラント処理施設①,H13.1,H14.5
鹿／島／建／設㈱,陽光園新築工事,H13.11,H14.3
鹿／島／建／物㈱,赤穂研修ｾﾝﾀｰ補修工事,H14.2,H14.3
鹿島建設㈱他JV,武道館仮設道路他,H12.6,H14.2
鹿島建設㈱他JV,兵庫県立武道館（仮称）建築工事③,H12.6,H14.2
鹿島建設㈱他JV,姫路豊富団地造成工事①,H12.11,H14.6
鹿島建設㈱他JV,姫路豊富団地造成工事②,H12.11,H14.6
鹿島建設㈱他JV,姫路豊富団地造成工事③,H12.11,H14.6
鹿島建設㈱他JV,姫路豊富団地造成工事⑤,H12.11,H14.6
鹿島建設㈱他JV,兵庫県立武道館排水工事,H13.6,H13.9
鹿島建設㈱他JV,兵庫県立武道館外周道路改良工事,H13.9,H14.2
中／央／工／業㈱,兵庫県立武道館（仮称）建築工事①,H12.6,H14.2
中／央／工／業㈱,兵庫県立武道館（仮称）建築工事④,H12.6,H14.2
真／柄／建／設㈱,河東地区コミュニティ・プラント処理施設②,H13.1,H14.2
真／柄／建／設㈱,河東地区コミュニティ・プラント処理施設③,H13.1,H14.2
㈱神・名・工・務・店,兵庫県立武道館（仮称）建築工事②,H12.6,H14.2
㈱神・名・工・務・店,兵庫県立武道館（仮称）建築工事⑤,H12.6,H14.2
㈱サ・ン・テ・ッ・ク,兵庫県立武道館電気設備工事,H12.6,H14.2
㈱宮／本／組,姫路豊富団地造成工事④,H12.11,H14.6
清／和／建／設㈱,夢前川水系水尾川河川環境整備工事,H13.1,H13.6
㈱大／本／組,市道緑ヶ丘線道路改良工事,H13.3,H14.1
西原ネオ工業㈱,西山田処理場補修工事,H13.5,H13.6
東熱・美樹ＪＶ,兵庫県立武道館冷却塔基礎工事他,H13.8,H13.10
朝／日／企／業㈱,山崎止水工事,H13.10,H13.11
西／村／建／設㈲,香寺南地区農道橋工事,H13.10,H14.4
太陽太志建設㈱,市道緑ヶ丘線道路改良工事　付帯工①,H13.11,H14.1
㈲丸正建設工業,市道緑ヶ丘線道路改良工事　付帯工②,H13.11,H14.1
清元様,岡山東山浄苑,H14.5,H14.6
飾／磨／整／備㈱,飾磨整備飯田造成工事,H14.6,H14.6
日建シャッター㈲,文化ｾﾝﾀｰ入口舗装工事,H14.6,H14.6
姫路市,農業集落排水事業西山田地区処理施設（土木・建築）工事,H12.10,H13.6
姫路市,姫路市立婦人会館解体撤去工事,H14.5,H14.6
姫路市,手柄49号線道路補修工事,H14.5,H14.6
姫路市,白鳥149号線舗装改良工事,H14.6,H14.6
姫路市阿保南土地区画整理組合,阿保南区画埋立工事,H13.9,H13.11
㈶姫路市都市整備公社,駅東ビル地下ピット内の砂撤去作業,H14.6,H14.6
,,,
木／村／建／設㈱,ヴィアイン姫路解体工事,H14.4,H14.6
木／村／建／設㈱,ヴィアイン姫路解体工事に伴う追加工事,H14.4,H14.6
猪／熊／建／設㈱,山電西飾磨駅樋改修工事,H14.5,H14.5
治水ヒューム管工業㈱,治水ヒューム管工業㈱事務所新築工事,H14.6,H14.6
