鹿／島／建／設㈱,三方繁盛簡易水道(三方工区）管路施設新設工事,H8.11,H11.3
鹿／島／建／設㈱,三方コミュニティプラント建設工事,H9.3,H11.5
鹿／島／建／設㈱,三方繁盛簡易水道常傭工事,H9.3,H11.5
鹿／島／建／設㈱,三方繁盛簡易水道三方工区管路施設新設工事,H9.3,H11.5
鹿／島／建／設㈱,姫路高架東部2ＢＬ新設他2件工事,H9.4,H11.3
鹿／島／建／設㈱,合同製鉄加熱炉土木基礎工事,H10.12,H11.6
鹿島建設㈱他JV,関西電力㈱山崎開閉所新設工事,H9.4,H11.3
鹿島建設㈱他JV,プラント跡地舗装工事,H10.3,H10.9
成／臨／興／業㈱,町坪地内舗装工事,H10.3,H10.7
成／臨／興／業㈱,飾磨東幹線7工区舗装工事,H10.11,H11.3
㈱扇／土／建,2号線道路改良（東工区）工事,H9.10,H11.3
㈱冨／島／建／設,機器基礎掘削跡舗装工事,H10.2,H11.3
西播磨水道企業団,配水管新設工事,H10.3,H11.3
澤／西／建／設㈱,飾磨東幹線6工区下水道推進工事,H10.5,H10.12
高浜東土地区画整理組合,Ｐ4-1号線築造工事,H10.9,H11.3
塩谷運輸建設㈱,池尻高水敷造成工事（その2）,H10.10,H11.3
相生市,竜泉分区準幹線5-2工区下水道推進工事,H10.11,H11.3
相生市,竜泉分区準幹線第5工区下水その2,H10.11,H11.3
相生菅原横尾土地区画整理組合,第3期整地工事,H10.4,H11.3
相生菅原横尾土地区画整理組合,公園整地工事,H11.5,H11.5
,,,
鹿／島／建／設㈱,第二水源地建築工事,H9.11,H10.12
鹿／島／建／設㈱,デイサービスみどり苑新築工事,H10.8,H11.3
鹿／島／建／設㈱,西播Ｓ/Ｓ本館増築工事,H10.9,H10.11
鹿島建設㈱他JV,多々良木便所他建築工事,H10.2,H10.10
ビルダース山本㈱,ホテルシーショア御津建築工事,H10.4,H10.11
鹿島建設㈱他JV,多々良木事務所新築工事,H10.5,H10.9
大　佐　古様,大佐古邸新築工事,H10.6,H10.11
三　　木　様,三木邸新築工事,H10.6,H10.12
平／錦／建／設㈱,岡山白陵特別教室改修工事,H10.8,H11.2
㈱森／本／組,関電山崎建築工事,H10.8,H11.3
飛／鳥／土／地㈱,グランドビレッジ改修工事,H10.9,H10.11
㈱増／／田,ベルハイツ天満改築工事,H10.9,H10.11
㈲タイゲン建設,(有)タイゲン建設事務所新築工事,H10.9,H11.3
浜　　　崎　様,浜崎邸改築工事,H10.10,H10.11
ハッピーマート,ハッピーマート改築工事,H11.2,H11.2
㈶姫路市都市整備公社,トランポリン跡土間改修工事,H11.3,H11.3
㈱丸／／正,ベルハイツ天満改修工事,H11.5,H11.5
姫路市都市整備公社,中央地下駐車場出入り口設置工事,H10.8,H10.10
