鹿／島／建／設㈱,山電姫路高尾線改良工事③,H16.02,H16.07
鹿／島／建／設㈱,山電姫路高尾線道路改良工事④,H16.02,H16.07
鹿／島／建／設㈱,山電姫路派遣社員,H16.07,H17.04
鹿／島／建／設㈱,JR鉄筋調査工事,H16.09,H16.1
鹿／島／建／設㈱,JR姫路地覆・高欄補修工事,H16.11,H17.01
鹿／島／建／設㈱,小束山法面工事,H16.12,H17.01
鹿／島／建／設㈱,安田川築造工事,H16.12,H17.03
鹿島建設㈱他JV,赤穂尾崎トンネル工事①,H15.11,H17.03
鹿島建設㈱他JV,赤穂尾崎トンネル工事②,H15.06,H17.03
鹿島建設㈱他JV,赤穂尾崎トンネル工事③,H15.06,H17.03
鹿島建設㈱他JV,赤穂尾崎トンネル工事その①,H15.11,H17.03
鹿島建設㈱他JV,山電姫路雑工事その3,H16.07,H17.05
鹿島建設㈱他JV,山電土留擁壁他工事,H16.07,H17.05
鹿島建設㈱他JV,赤穂尾崎トンネル工事その②,H16.11,H17.05
鹿島山電JV,山電飾磨解体工事,H16.12,H16.12
セイコウ建設㈱,和久今宿線沿道環境整備工事,H16.1,H17.03
セイコウ建設㈱,太子支線（19工区）送水管布設工事,H16.11,H17.06
セイコウ建設㈱,都市基盤河川大井川改修工事,H16.11,H17.03
セイコウ建設㈱,苫編北川他築造（その3）工事,H16.12,H17.05
菱／井／商／事㈱,姫路卸売り市場パーキング整備工事,H16.06,H16.06
㈱友／久／建／設,準用河川中島川河道掘削工事,H17.02,H17.03
わたなべ殖産,姫路岡田造成工事,H17.04,H17.07
姫路市,阿保地区大日線他築造工事,H16.07,H17.01
姫路市,阿保地区西阿保川築造工事,H16.07,H17.01
姫路市,阿保地区145街区他整地工事,H16.07,H17.01
姫路市,手柄山災害復旧作業,H16.09,H16.1
姫路市,城南130号線他2路線道路改良工事,H17.03,H17.05
㈶姫路市都市整備公社,姫路市民プール施設改修工事①,H16.06,H16.07
兵庫県中播磨県民局,（都）船場川線迂回道路整備工事（南工区賃料）①,H16.06,H18.03
兵庫県中播磨県民局,船場川線仮設道路工事（南工区賃料）,H16.03,H17.03
兵庫県中播磨県民局,船場川線仮設道路工事（南工区賃料）①,H17.04,H18.03
,,,
鹿／島／建／設㈱,山電姫路高尾線道路改良工事（建家I-2）,H16.06,H16.07
㈱友／久／建／設,菅生ダム公衆便所新築工事,H16.1,H17.03
出田様,アートスペースビル内装改修工事,H16.12,H16.12
ユーダイ建設㈲,県営姫路網干鉄筋住宅大規模改修4号棟建築工事,H17.02,H17.1
姫路河川国道事務所,姫路河川国道事務所庁舎床修繕工事,H17.05,H17.06
