鹿島建設㈱他JV,山電明石連立２期（土木関係）工事,H28.6,H28.12
鹿島建設㈱他JV,明石連立第２工区（土木関係）工事,H28.6,H29.4
㈱神／崎／組,相生有年道路有年牟礼地区排水構造物等工事,H28.10,H29.3
㈱吉／田／組,船場川線河川改修工事（文化財発掘調査）,H28.6,H29.3
㈱吉／田／組,船場川線河川改修工事（飯田工区その6）,H28.7,H28.6
美／樹／工／業㈱,姫路市（仮称）北部エリア学校給食センター整備及び運営事業（施設整備業務）,H28.10,H29.6
美／樹／工／業㈱,ハリマ共和物産駐車場整備工事,H28.12,H29.2
㈱ハンシン建設,中国横断自動車道山崎ジャンクションBランプ橋他1橋工事,H28.6,H29.3
㈱旭テクノロジー,姫路市飾東町大釜太陽光発電所建設工事,H28.4,H29.3
㈱ｺﾝｸﾘｰﾄｺｰﾘﾝｸﾞ,中国自動車道西下野高架橋（上り線）他1橋床版取り替え工事（佐用町）,H28.5,H28.7
㈱ｺﾝｸﾘｰﾄｺｰﾘﾝｸﾞ,大峰高架橋梁撤去工事（広島県庄原市新庄町25）,H28.7,H28.8
㈱ｺﾝｸﾘｰﾄｺｰﾘﾝｸﾞ,市川橋他7橋高架撤去工事,H28.9,H29.10
㈱ｺﾝｸﾘｰﾄｺｰﾘﾝｸﾞ,西下野高架橋撤去工事,H28.10,H28.11
㈱ｺﾝｸﾘｰﾄｺｰﾘﾝｸﾞ,南あわじ円行寺橋床板撤去工事,H29.2,H29.2
㈲ネットハウジング,加西市北条町横尾造成工事,H28.6,H28.11
㈲人／／／和,相生ホテル伐採・解体工事,H28.8,H28.9
みなとジオマネジメント㈱,加西市北条町横尾造成に伴う付帯工事,H28.12,H28.12
中／央／電／設㈱,明石連立（電力関係）H27年度工事,H27.6,H28.8
㈱サ／プ／ラ／イ,赤穂市鷆和地内宅地造成工事,H27.6,H28.6
㈱武／田／組,美浜発電所全周防潮提設置工事のうち3号防潮提設置工事,H29.2,H29.6
成／臨／興／業㈱,山崎・町裏浄水場ろ過池掻取工事,H27.5,H28.8
㈱セ／イ／コ／ウ,芦田川改修工事,H29.3,H29.5
姫路市,特別史跡姫路城跡上山里曲輪東通路確認調査工事,H28.6,H28.11
姫路市,姫路市営見野住宅2・3号設備棟改修工事,H28.7,H28.11
姫路市,手柄７１号線舗装改良工事,H29.1,H29.3
,,,
姫路市,姫路市営見野住宅2・3号設備棟改修工事,H28.7,H28.11
姫路市,姫路市営見野住宅プロパン庫鉄扉修理工事,Ｈ28.10,Ｈ28.10
姫路市,姫路市立総合スポーツ会館煙突改修工事,Ｈ28.11,Ｈ29.1
姫路市,姫路市立白浜公民館ロビー改修工事,Ｈ28.12,H29.3
姫路市,姫路市立総合スポーツ会館卓球場塗床補修工事,H29.1,H29.3
(公財)姫路市文化国際交流財団,姫路市文化センター修繕工事,H28.6,H29.6
(公財)姫路市文化国際交流財団,姫路市文化センター雑工事,H28.6,H29.6
兵庫県立こどもの館,兵庫県立こどもの館受水槽屋根撤去工事,H28.7,H28.8
兵庫県立こどもの館,兵庫県立こどもの館受水槽屋根葺き工事,Ｈ28.12,Ｈ29.2
兵庫県立こどもの館,兵庫県立こどもの館正門アコーディオン門扉更新工事,H29.2,H29.3
兵庫県立こどもの館,兵庫県立こどもの館正門郵便受取替工事,H29.4,H29.4
橘様,橘邸外構工事,H28.2,H28.7
㈱兵／庫／建／設,加古川神野社宅空家補修工事,H28.4,H28.6
㈱関西港湾工業,新港第3突堤　旅客乗降用渡橋設置工事,Ｈ28.5,Ｈ28.9
㈱J M Uアムテック,桜ヶ丘寮　改修工事,H28.6,H29.6
㈱ワン・ツ・スリー,ネットフェンス設置工事（株式会社光明兼光本店）,Ｈ28.8,Ｈ28.8
フレイグランス田寺,フレイグランス田寺改修工事,Ｈ28.8,Ｈ28.9
山本様,山本邸ブロック塀改修工事,H29.4,H29.4
多田様,多田邸造成工事,H29.4,H29.4
