鹿／島／建／設㈱,明石連立第２工区（土木関係）工事,H27.6,H28.6
鹿／島／建／設㈱,神戸長田トンネル天井板撤去工事,H27.12,H28.4
鹿／島／建／設㈱,山電西新町駅仮駅舎解体工事,H27.10,H28.3
鹿／島／建／設㈱,兵庫医大　橋撤去及びカルバート設置工事,H27.10,H27.12
鹿／島／建／設㈱,兵庫医大 鉄板蓋設置他工事,H28.2,H28.3
鹿島建設㈱他JV,山電谷八木 水路復旧工事,H27.4,H27.8
㈱神／崎／組,相生有年道路上松上り改良工事,H27.6,H28.5
㈱神／崎／組,若狭野町野々外地内下水管移設工事,H27.11,H27.12
㈱ハンシン建設,相生ライン建設工事,H27.2,H27.8
㈱ハンシン建設,中国自動車道山崎ジャンクションＢランプ橋他1橋工事,H28.2,H28.3
㈱関西港湾工業,赤穂市鷆和地内宅地造成工事,H27.5,H27.7
㈱関西港湾工業,一級河川木津川環境整備工事（松尾橋～大渉橋）その２,H27.9,H28.3
㈲ネットハウジング,小野市垂井町宅地擁壁工事,H27.7,H27.8
㈲ネットハウジング,西脇市上野宅地擁壁工事,H27.9,H27.10
㈱金／海／興／業,相生有年道路上松西上り改良工事,H27.6,H28.3
宇／治／工／業㈲,神戸港六甲アイランド地区岸壁（-16ｍ）（RC-7)耐震改良工事（第2工区）,H27.6,H27.7
㈱上／田／組,市道龍野揖保川御津線道路新設改良工事（その21）,H26.12,H27.6
ヒラカワ建設㈱,石田生花店駐車場整備工事,H27.7,H27.8
中／央／電／設㈱,山電明石電柱基礎撤去,H27.7,H28.2
円立寺,円立寺目隠しフェンス工事,H27.8,H27.8
㈱インフラテクノ,相生有年構造物撤去工事,H27.8,H27.9
赤松設備工業㈱,相生有年水道管巻立工事,H27.10,H27.10
日鉄住金テックスエンジ㈱,大阪ガスボイラ基礎構築工事,H27.10,H27.12
㈱山陽設備工業所,配水管移設工事（上松2工区）,H27.12,H27.12
㈱日／笠／建／設,平成27年配水管改良工事（野々）,H28.3,H28.3
,,,
㈱関西港湾工業,ポートアイランド歩道橋等改良工事,H28.2,H28.5
㈱関西港湾工業,六甲アイランドターミナル桟橋改修工事,H28.2,H28.5
㈱三／木／組,姫路市飾磨区サ高住計画新築工事,H27.1,H27.8
山・電・不・動・産㈱,山電姫路駅高架下店舗漏水修繕工事,H27.6,H27.6
三／相／電／機㈱,本社内間仕切壁設置（更衣室他）工事,H27.7,H27.7
ヒラカワ建設㈱,四郷町倉庫新設工事,H27.7,H27.7
坂口様,坂口邸　車庫新築工事,H27.9,H27.11
㈱リアルハウジング,ルネス大河内漏水修繕工事,H27.10,H27.10
㈱J M Uアムテック,桜ヶ丘寮　駐輪場改造工事,H27.10,H27.10
竹中様,グラースガーデン今宿雑物除去工事,H28.4,H28.4
姫路市,中央卸売市場関連店舗G棟内装等撤去工事,H27.6,H27.6
姫路市,姫路市営上鈴住宅4号棟耐震改修工事,H27.10,H28.1
(公財)姫路市文化国際交流財団,姫路市文化センター鉄扉シリンダー錠交換工事,H27.10,H27.10
(公財)姫路市文化国際交流財団,姫路市文化センターセントラルスペース屋上浮工事,H27.10,H28.1
(公財)姫路市文化国際交流財団,姫路市文化センター舗装修繕工事,H27.10,H28.1
(公財)姫路市文化国際交流財団,姫路市文化センター雑工事,H27.10,H28.1
兵庫県立こどもの館,兵庫県立こどもの館本館3階事務室窓枠補修工事,H28.4,H28.4
