鹿／島／建／設㈱,三洋電機㈱加西工場棟東庇拡張土工事,H22.6,H22.11
鹿／島／建／設㈱,山電姫路U型擁壁工,H22.6,H22.12
鹿／島／建／設㈱,大阪ｶﾞｽHOﾗｲﾝ工事(兵庫3基地造成）,H22.7,H22.9
鹿／島／建／設㈱,加古川クリーンセンター,H22.7,H22.10
鹿／島／建／設㈱,加古川テント基礎解体用仮囲い工事,H22.8,H22.10
鹿／島／建／設㈱,大阪ガス桟橋修繕工事,H22.8,H22.12
鹿／島／建／設㈱,大和川線天美堀割工事,H22.9,H23.6
鹿／島／建／設㈱,マイクロンジャパン㈱西脇工場内整備工事,H22.11,H23.2
鹿島建設㈱他JV,山電西新町工事,H22.6,H23.6
荒川福祉作業所,荒川福祉作業所解体工事,H22.7,H22.8
荒川福祉作業所,荒川福祉作業所解体跡地整備工事,H22.9,H22.9
成／臨／興／業㈱,（二）夢前川水系夢前川土砂運搬工事,H22.1,H22.6
成／臨／興／業㈱,内々環状西線（北工区）道路改良工事,H21.9,H22.7
姫路市,飾磨拠点土地区画整理（その１）配水管布設工事,H22.6,H22.7
姫路市,手柄山落石防止網工事,H22.7,H22.8
姫路市,飾磨拠点地区（区）6号線舗装及び同地区細江西川築造工事,H22.7,H22.9
,,,
鹿／島／建／設㈱,山電人丸駅前ホーム床エキスパンション修繕工事,H22.8,H22.9
鹿／島／建／設㈱,東垂水駅橋上駅舎西面外壁改修工事,H22.12,H23.3
㈱二神建築事務所,モノレール軌道橋脚点検補修,H22.11,H23.3
姫路市,手柄山山頂駐車場便所改修工事,H22.11,H23.3
