鹿／島／建／設㈱,内々環状西線工事,H15.01,H15.03
鹿／島／建／設㈱,ＪＲ姫路駅東工事,H15.01,H15.03
鹿島建設㈱他JV,豊富団地道路側溝工事,H12.11,H15.03
鹿島建設㈱他JV,姫路豊富団地造成工事④,H12.11,H15.03
鹿島建設㈱他JV,姫路豊富団地造成工事⑤,H12.11,H15.03
鹿島建設㈱他JV,姫路豊富団地造成工事⑥,H12.11,H15.03
鹿島建設㈱他JV,姫路豊富団地造成工事⑦,H12.11,H15.03
鹿島建設㈱他JV,山電姫路工事,H14.11,H15.06
関／西／電／力㈱,城南変電所正門修繕工事,H15.02,H15.03
関／西／電／力㈱,防災訓練跡地整備工事,H15.02,H15.03
成／臨／興／業㈱,宮ヶ谷最終処分場その１,H14.08,H14.09
成／臨／興／業㈱,本町橋下部工その他工事,H14.09,H15.03
成／臨／興／業㈱,町道船本中比地線第二工区道路改良工事,H14.12,H15.03
セイコウ建設㈱,高岡１号線道路新設工事,H14.08,H15.02
セイコウ建設㈱,水尾川河川環境整備工事,H14.09,H15.03
セイコウ建設㈱,外堀川整備工事,H14.11,H15.03
木／村／建／設㈱,ヴィアイン姫路建築工事,H14.07,H14.09
木／村／建／設㈱,ヴィアイン姫路外構工事,H14.08,H14.1
清元様,岡山東山浄園,H14.03,H14.08
大／興／物／産㈱,陽光園追加工事,H14.03,H14.09
太陽,白鳥台排水処理工事,H14.05,H14.06
日建シャッター㈲,文化ｾﾝﾀｰ入口舗装工事,H14.07,H14.07
泰明土木建設㈲,岡南環境センター改造工事,H14.07,H15.01
㈱坂／本／建／設,本町橋下部工その他工事,H14.1,H15.03
㈱小・西・工・務・店,旧新在家公設市場付帯整備工事,H15.01,H15.03
㈱福／原／組,２９号神岡地区歩道設置工事,H15.01,H15.03
山本様,山本邸解体撤去工事,H15.02,H15.02
ナ／／サ㈱,植物園シェルター工事,H15.03,H15.04
㈱カ／ン／キ,姫路豊富団地⑧,H15.03,H15.05
大前様,中村邸基礎工事,H15.05,H15.06
姫路市,陸上競技場ゲート補修工事,H14.02,H14.03
姫路市,手柄６号線道路補修工事,H15.04,H15.05
,,,
兵庫県立姫路東高等学校,兵庫県立姫路東高等学校便所改修他工事,H14.07,H14.1
関／西／電／力㈱,揖保変電所衛生設備改良工事,H15.02,H15.03
成／臨／興／業㈱,宮ヶ谷最終処分場その２,H14.08,H14.09
