鹿島建設㈱他JV,山崎開閉所新設工事,H10.3,H12.3
前／田／建／設㈱,裏垣内幹線（7工区）下水道工事,H10.10,H11.9
成／臨／興／業㈱,（国）372号小原豊国ＢＰ道路改良工事,H11.3,H12.3
中／山／興／業㈱,神谷ダム付替道路新設工事,H11.3,H12.3
相生資源開発㈱,プラント用地緑化工事,H11.5,H11.7
㈱扇／土／建,飾磨区中島南地内（その6）下水道工事,H11.7,H12.2
多／田／建／設㈱,イトーヨーカドー駐車場新設工事,H11.8,H11.12
㈱　　竹　　中　　建　　設,書写造成工事,H11.10,H12.3
㈱扇／土／建,飾磨区中島南地内（その8）下水道工事,H11.11,H11.12
姫路市,刀出地区処理施設土木建築工事,H11.4,H12.3
姫路市,東部幹線(第1-7工区）下水道工事,H11.7,H12.3
福崎町,特環下水道事業大山処理区管渠工事（その13）,H11.3,H11.10
建設省姫路工事事務所,29号打越地区歩道整備工事,H11.7,H12.1
姫　路　市　下　水　道　局,別所幹線(第15工区）下水道工事,H10.12,H11.7
姫　路　市　水　道　局,別所町佐土配水管移設工事,H11.5,H11.9
姫　路　利　水　事　務　所,天日乾燥床増築工事,H11.10,H12.3
兵庫県立こどもの館,兵庫県立こどもの館工作館スロープ設置工事,H11.11,H12.3
,,,
姫路市,姫路市営勅旨住宅　1～3号棟改修工事,H11.10,H12.2
田中様,田中邸新築工事,H11.12,H12.3
関／西／電／力㈱,第一琵琶寮改良工事,H12.1,H12.3
