鹿／島／建／設㈱,姫路高架東部2ＢＬ新設他2工事,H12.6,H13.5
鹿／島／建／設㈱,関電山崎敷地周辺整備工事,H12.8,H12.12
鹿／島／建／設㈱,大手前地下駐車場増水調査,H12.8,H12.8
鹿／島／建／設㈱,河東地区コミュニティ・プラント処理施設工事,H12.12,H13.5
鹿／島／建／設㈱,姫路豊富団地造成工事①,H12.12,H13.5
鹿／島／建／設㈱,山電西飾磨駅漏水修繕工事,H13.1,H13.2
鹿／島／建／設㈱,姫路豊富団地造成工事②,H13.1,H13.3
鹿／島／建／設㈱,車両乗り入れ設備設置工事,H13.1,H13.3
鹿／島／建／設㈱,姫路高架朝日橋工事,H13.1,H13.5
鹿島建設㈱他JV,兵庫県立武道館（仮称）建築工事①,H12.6,H13.5
鹿島建設㈱他JV,武道館仮設道路他,H12.11,H13.5
㈱富／永／製／作／所,西播石油,H12.9,H12.9
㈱富／永／製／作／所,給油所解体工事,H12.9,H12.10
㈱富／永／製／作／所,黒崎播磨重油タンク増設工事,H12.12,H13.2
東熱・東芝・美樹・山本鑿泉・ミヤケＪＶ,武道館空調設備工事,H12.8,H12.10
東熱・東芝・美樹・山本鑿泉・ミヤケＪＶ,武道館空調足場工事,H13.1,H13.2
真／柄／建／設㈱,河東地区コミュニティ・プラント処理施設工事②,H13.1,H13.5
真／柄／建／設㈱,河東地区コミュニティ・プラント処理施設工事③,H13.1,H13.5
中／央／工／業㈱,兵庫県立武道館（仮称）建築工事,H12.6,H13.5
㈱日／栄／建／設,ＪＲ姫路高架,H12.6,H13.5
緑台自治会,緑台集会場ＡＳ舗装工事及びスペースガード工事,H12.7,H12.8
西部電気建設㈱,武道館電気工事,H12.10,H13.5
日本鋼弦コンクリート㈱,外堀川桁架設工事,H12.12,H13.5
清／和／建／設㈱,水尾川河川環境整備工事,H13.1,H13.3
中／央／電／工㈱,レストラン幹線電気設備工事,H13.1,H13.5
㈱横／山／電／気,武道館電気設備工事,H13.1,H13.5
㈱大／本／組,市道緑ヶ丘線道路改良工事,H13.3,H13.5
田中　源之,田中邸ブロック積工事,H13.4,H13.5
姫路市,東部幹線（第1-7工区）下水道工事,H12.6,H12.12
姫路市,園路補修工事,H12.10,H12.11
姫路市,農業集落排水事業西山田地区処理施設（土木・建築）工事,H12.10,H13.5
姫路市,文化センター駐車場改良工事,H13.1,H13.3
㈶姫路市都市整備公社,駅東ビル地下ピット内の砂撤去作業,H12.6,H12.6
㈶姫路市都市整備公社,ひめじ手柄山遊園ループコースター撤去工事,H12.12,H13.3
㈶姫路市都市整備公社,手柄山遊園照明灯補強工事,H13.1,H13.2
姫路港管理事務所,家島港防波堤（東）ケーソン製作（その2）工事,H12.8,H13.3
相生市菅原横尾土地区画整理組合,調整池護岸工事,H12.11,H13.3
兵庫県立こどもの館,こどもの館門扉排水工事,H13.4,H13.5
,,,平成１２年度
鹿／島／建／設㈱,三方コミプラ補修工事,H12.5,H13.5
鹿／島／建／設㈱,姫路駅東鹿島シャワー室工事,H12.7,H12.8
㈱小・西・工・務・店,県営赤穂千鳥住宅第3期第2工区建築工事,H12.3,H13.6
㈱小・西・工・務・店,下手野鉄筋団地第2工区景観改善工事,H13.2,H13.3
奥村組土木興業㈱,黒田庄町処理場補修工事,H12.5,H13.5
奥村組土木興業㈱,黒田庄処理施設防水工事,H13.1,H13.2
成／臨／興／業㈱,県営姫路東夢前台住宅建築工事,H11.11,H12.12
田中様,田中邸フェンス工事,H13.5,H13.6
